----------------------------------------------------------------------------
PROTOFORM:           1. *a
PROTOFORM GLOSS:     you (sg)
PROTOFORM COMMENT:   Lane: 2. *a 'you.sg'

RECORD:              kta     : a                    : 'you.sg'            
RECORD:              koi     : a                    : 'you.sg'            
RECORD:              mtn     : a                    : 'you.sg'            
RECORD:              omi     : ja                   : 'you.sg'            
RECORD:              bar(n)  : a                    : 'you.sg'            
RECORD:              bar(s)  : a                    : 'you.sg'            
RECORD:              man     : a                    : 'you.sg'            

COMMENT:             {omi} /ja/ is unexpected. Expected form is a. Initial j possibly accreted by analogy with /jeme/ 'you.pl' or possibly /ja/ is a reflex of /*ya/ 'you.pl'.

----------------------------------------------------------------------------
PROTOFORM:           2. *ada
PROTOFORM GLOSS:     arm
PROTOFORM COMMENT:   Lane: *(ʔ)ada 'arm, hand, branch, wing, appendage'

RECORD:              kta     : ada-ka               : 'arm, hand, branch, handle'
RECORD:              koi     : ada-ka               : 'arm, hand, branch, handle, foreleg (of animal), wing'
RECORD:              mtn     : ada                  : 'arm, hand, foreleg, branch'
RECORD:              omi     : ad-e                 : 'branch, appendage' 
RECORD:              bar(n)  : adav-e               : 'wing'              
RECORD:              bar(s)  : (miʔena) ada|hu      : 'wing'              
RECORD:              man     : ta|h-a               : 'wing'              

----------------------------------------------------------------------------
PROTOFORM:           3. *ada
PROTOFORM GLOSS:     top
PROTOFORM COMMENT:   Lane: *ad(a,o) 'top'

RECORD:              kta     : ada-he               : 'on top of'         
RECORD:              koi     : ada-he               : 'on top of'         
RECORD:              mtn     : ho|vada-ve           : 'on top of' : (ho- unexplained; -ve locative suffix)
RECORD:              omi     : dö|r-e               : 'top (of tree)'     
RECORD:              bar(n)  : ado                  : 'on top' : (? - expected form adoCe)
RECORD:              bar(s)  :                      :                     
RECORD:              man     :                      :                     

COMMENT:             

----------------------------------------------------------------------------
PROTOFORM:           4. *aduné
PROTOFORM GLOSS:     thick
PROTOFORM COMMENT:   

RECORD:              kta     : adune                : 'thick'             
RECORD:              koi     :                      :                     
RECORD:              mtn     :                      :                     
RECORD:              omi     :                      :                     
RECORD:              bar(n)  :                      :                     
RECORD:              bar(s)  : adunu                : 'thick'             
RECORD:              man     :                      :                     

COMMENT:             

----------------------------------------------------------------------------
PROTOFORM:           5. *afa-
PROTOFORM GLOSS:     cut, chop (wood)
PROTOFORM COMMENT:   

RECORD:              kta     : aha-                 : 'cut, chop'         
RECORD:              koi     : aha-                 : 'cut (wood), chop'  
RECORD:              mtn     : hei                  : 'to cut' : (ei unexpected; a expected)
RECORD:              omi     : ah-e                 : 'cut, break (stick)'
RECORD:              bar(n)  :                      :                     
RECORD:              bar(s)  :                      :                     
RECORD:              man     : aha|tuv-o            : 'cut logs or bamboo'

COMMENT:             

----------------------------------------------------------------------------
PROTOFORM:           6. *afu
PROTOFORM GLOSS:     he, she, it
PROTOFORM COMMENT:   Lane: 3. *afu '3sg pronoun'

RECORD:              kta     : au                   : 'he, she, it'; 3sg pronoun : (expected form ahu)
RECORD:              koi     : ahu                  : 'he, she, it'; 3sg pronoun
RECORD:              mtn     : au                   : 'he, she, it'; 3sg pronoun
RECORD:              mtn     : avu-ho               : 'for him/her'       
RECORD:              omi     : hu                   : 'he, she, it'; 3sg pronoun
RECORD:              bar(n)  : fu                   : 'he, she, it'; 3sg pronoun
RECORD:              bar(s)  : ahu                  : 'he, she, it'; 3sg pronoun
RECORD:              man     : hu                   : 'he, she, it'; 3sg pronoun

COMMENT:             

----------------------------------------------------------------------------
PROTOFORM:           7. *akisi-
PROTOFORM GLOSS:     to sneeze
PROTOFORM COMMENT:   

RECORD:              kta     : asi|mana-va-nu       : 'sneeze'            
RECORD:              koi     : akisi-va-nu          : 'sneeze'            
RECORD:              mtn     : akisi-a              : 'sneeze'            
RECORD:              omi     :                      :                     
RECORD:              bar(n)  : asi|nuf-ie           : 'sneeze'            
RECORD:              bar(s)  :                      :                     
RECORD:              man     : asi|puej-o           : 'sneeze'            

COMMENT:             

----------------------------------------------------------------------------
PROTOFORM:           8. *amakina
PROTOFORM GLOSS:     sibling, same sex, older
PROTOFORM COMMENT:   Lane: 4. *(a)makina 'older opposite sex sibling'

RECORD:              kta     : amakina              : 'sibling, same sex, older'
RECORD:              koi     : amakina              : 'sibling, same sex, older'
RECORD:              mtn     : amakina              : 'sibling, same sex, older'
RECORD:              omi     : maʔin-e              : 'sibling, same sex, older'
RECORD:              bar(n)  : maʔi                 : 'sibling, same sex, older'
RECORD:              bar(s)  : mahino               : 'sibling, same sex, older'
RECORD:              man     : maʔin-a              : 'sibling, same sex, older'

COMMENT:

----------------------------------------------------------------------------
PROTOFORM:           9. *amaro
PROTOFORM GLOSS:     plateau, flat land
PROTOFORM COMMENT:   

RECORD:              kta     :                      :                     
