# ɨ ŋ              
one                mbia-
two                -(lɨ)par
three              -elɨm
person             
male               pondo
mother             nuŋor
female             nuŋor
father             apa
father             ano
water              alɨm
fire               aluŋ
sun                mbwino
                   
moon               mɨle
star               arenjo
canoe              ke
louse              nam
village            num
breast             ŋge
tooth              sisiŋ
blood              ayakone
bone               salɨn
                   
tongue             mɨnɨŋ
eye                tambli
nose               naŋɨm
hair               mbwikmaley
ear                kwandum
egg                awŋ
leaf               (nam)blum
tree               lor
                   
yesterday          nakɨmɨn
tomorrow           nakɨmɨn
oar                inap
betelnut           parɨŋ
lime               awer
pig                imbar
crocodile          walami
snake              paruŋ
mosquito           wawarɨn
chicken            kɨlɨkala
                   
sago grub          wurɨn
sago palm          (t)uli(no)
sago refuse        tɨkɨr
pound sago         pan-
wash sago          tuku-
to hear            andɨ-
to hit             ti-
to eat             am-
to go              kal-
faeces             mɨndi
spine of leaf      kinɨŋ
leg                namuŋ
big                kupa-
cold               popant
