to-stay mi
boy mahbi
garden  marako
garden  maga
some    mora
beside  morara
there   miʔ
to-put-down mara
to-vomit    mu
i   n-
i   ni
and-i   -na
what    ane
person  ani
to-eat  na
ant kiʔnu
to-die  pukiʔ
sun padah
pig poedah
ear are
leg-foot
placename-suffix    -kaʔ
snail   kakabiah
fence   kentiʔ-kuri
name    -kiʔ
nominal-collective
ginger  ki
to-fill kigiʔ
only    -ka
to-boil karagara
to-dig  kiro
vegetation  eku
ant ankiʔna
yam ahʔki
dye kokoʔmu
to-shake    kuruguruiʔ
this    mahna
inconsequential -me
soft    mareʔmareʔ
meat    miti
rat mu
down    mara
belly   (ag)mu(biuʔ)
thing   nane
louse   -ena
people  nu
wife    nahga
cobweb  anah(kawa)
not
fruit   (a)ra
arrow   poriah
earthquake  mari
thigh   aru
axe konaro
right-correct   ura
to-go-down  tuʔ
to-burn tehʔ
two tahtar-tare
to-drip tabarabai
fig     ara
cloud   ira(buya)
woman   ahte
for-benefactive -t-
dye sanseh
tall    sahsahiʔ
ghost   wahnsa
topic   -we
man weh
urine   ()wi
tooth   aweh
kinsman (ka)wa
interrogative   -po
stone   ebah
bird    kabara
just    peh
inessive    -piʔ
arm-hand    ayahn
bone    ayahnta
help    ahmpora
negative    aʔa
also    -kakaʔ
locative    -taʔ
similar tahnsa
separative  -ten
blood   korahʔ
milk    nah~nana
water   wani
faeces  aeʔ
eye uta
slope   awe
to-stand    iri
vocative    -os
road    ah
liver   aru


